"DESCRIPTION"	"SKILL"	"SKILL_ACTIVE"
"CABIN AREA BTW FR.41-FR.42 (-Y254) - (-Y765) T-SUPPORT FLOOR SCRATCH"	"STR,WSNC,WSPT"	"STR"
"LH WING SLAT #3 UPSTOP SEAL HAS CHAFED"	"STR"	"STR"
"LH PYLON FWD PYLON SEAL HAS TWISTED"	"AP"	"AP"
"[REF OIL-202] LAV A FLUSH MOTOR HEAVY LEAKAGE"	"CBN"	"CBN"
"PACK #1 TRIP ON MSG 21773"	"EA"	"EA"
"RH WING I/B L/E FLAP PAINT PEEL OFF"	"WSPT"	"WSPT"
"WING TO BODY FAIRING SEAL DETERIORATED AT AFT BELLY AREA"	"AP,STR"	"AP"
"[LESSOR FINDING] FO SIDE SUNVISOR HOLD STOP BRACKET FOUND DAMAGE"	"CBN"	"CBN"
"LH WING. TRANS #2 UNIVERSAL JOINT TO SCREW JACK FOUND INDICATION SURFACECORROTION"	"AP"	"AP"
"RH WING REFUELING ACCESS DOOR NOT FLUSH"	"STR"	"EA"
"MAIN DECK CARGO CASTER PANEL LOCK BROKEN 2EA"	"AP"	"EA"
"CABIN OVHD BIN AT BOTTOM COMPARTMENT POS 2 LH FOUND DAMAGE, PAINT PEELOFF & DENT"	"CBN,STR,WSCN,WSSS"	"EA"
"FWD CARGO BALL UNIT-BALL TRANSFER PANEL OVERPLAY 10 EA"	"AP"	"AP"
"1 EA SOAP DISPENSER POST LAV FWD UNSERVICEABLE"	"CBN"	"CBN"
"STATIC DISCHARGER ON RUDDER 2ND FROM TOP WITH SIGN OFF BURN AT TIP"	"EA"	"EA"
"ACM #1 COMPRESSOR OUTLET DUCT CONECTION LOOSE"	"EA"	"EA"
"PHY-950 EMPANAGE RH THS - HINGE FITTING NO 3 NUT DAMAGE"	"AP"	"EA"
"[FINDING LESSOR] RH FUSELAGE FWD BELOW FIXED WINDOW AREA FOUND TRIANGLEDECAL MISSING"	"WSPT"	"WSPT"
"CONTROL CAM POST DOOR 1LH WAS LOOSE"	"CBN"	"CBN"
"BOLT ON LATCH TORQUE TUBE WAS LOOSE POST DOOR 1 LH (2EA) 5 LH (5EA)"	"CBN"	"CBN"
"LH WING O/B REFUEL RECEPTACLE PANEL FUELING OVERRIDE SHUTOFF PLACARD TORN"	"AP,WSPT"	"EA"
"FINDING LESSOR: LH WING FLAP BEAM #2 NOTED WITH CHAFFING ON LOWER EDGE"	"WSNC,WSST"	"EA"
"FWD CARGO INSULATION BLANKET STA 620-640 BAD CONDITION"	"AP,WSCN"	"EA"
"EXTERNAL FUSELAGE BETWEEN STA 2460 & STA 2484 RH SIDE SOME SKIN SURFACE CORROSION"	"STR,WSPT"	"EA"
"ENGINE #2 BLANKET NEED RE-SEALANT"	"STR,WSST"	"EA"
"ALL TABLE Y/CLASS SEAT NEED ADJUSTMENT"	"WSSS"	"WSSS"
"REF ADD 7713263 FWD CARGO 1st SIDE WALL"	"NA"	"NA"
"AFT CARGO WALL INTERCOSTAL CRACK LH SIDE"	"STR"	"STR"
"LESSOR COMMENTLOC : COCKPITLESSOR COOMMENT : REPLACE GIRT BARSBOTH GIRT BARS ARE DAMAGED"	"AP"	"AP"
"LESSOR FINDINGLOC. CABINLESSOR COMMENT ENSURE IFE SYSTEM FULLY FUNCTIONALENSURE THAT ALL IFE MONITORS ARE IN A SERVICEABLE CONDITION AND FULLYFUNCTIONAL"	"AP"	"AP"
"LESSOR FINDINGLOC RH WINGLESSOR COMMENT REPLACE DAMAGED SEALSSOME KRUGER FLAP SEALS ARE DAMAGED"	"AP"	"AP"
"LESSOR FINDINGLOC LH MLGLESSOR COMMENT RESTORE PAINT FINISH SEVERAL AREAS OFPAING DAMAGE ONLANDING GEAR"	"WSPT"	"WSPT"
"ANGLE BRACKET MOUNTING DOOR WASH BASIN L"	"WSCN"	"WSCN"
"L/H REFUELLING PANEL JACK INTERPHONE INO"	"EA"	"EA"
"AFT CARGO DOOR FRAME CUT OUT PAINT PEEL"	"WSPT"	"WSPT"
"RH PLATE CLOSING BELLY FAIRING AT FR 34"	"STR"	"STR"
"GROUND SPOILER INTERLOCK VALVE NEED SWAP"	"AP,EA"	"AP"
"LAV. D VERTICAL SEAL WASTE CONTAINER N/A 1 EA"	"CBN"	"GAH402C1"
"RH WING SLAT #2-#3 SEAL-WEATHER BROKEN"	"AP"	"AP"
"LAV D METAL VERTICAL TRIM DOOR SECTION WAS DIRTY"	"CBN"	"EA"
"COLLINS FINDING-NOZZLE ASSY-COMMON, #1 CORROSION/ DISCOLOURATION ON OUTER SKIN UPR"	"AP,WSPT"	"W403"
"VERSTAB TRAILING EDGE PANEL 325HL SCREW"	"AP"	"AP"
"LAV E DOOR HINGE UPPER LOCK ATTACHMENT C"	"CBN"	"EA"
"LAV D AND E COVER LIGHT BAD CONDITION"	"CBN"	"EA"
"RH WING SLAT #5 O/B SEAL TIP BROKEN"	"AP"	"EA"
"SOME OF KICK STRIP AND CARPET KICKSTRIP"	"CBN,WSSW"	"CBN"
"Vertical LE tip Paint Peel Off"	"WSPT"	"WSPT"
"EXT FUSELAGE SKIN BTW FR 55-56 STGR 29L-"	"NA,STR,WSNC,WSPT"	"NA"
"EXT FUSELAGE SKIN BTW FR 56-57 STGR 29L-"	"NA,STR,WSNC,WSPT"	"NA"
"ENG #2 IP COMPRESSOR ROTOR STAGE 1 FOUND"	"Eng. Maint. Boroscope Inspection"	"Eng. Maint. Boroscope Inspection"
"[DD] 106879461: WORKLIGHT LENS WORN UNDE"	"CBN"	"CBN"
"[DD] 106914503: COVER ASSY BROKEN ON BE"	"CBN"	"CBN"
"COCKPIT CB PANEL P6 & P18 DIRTY"	"EA"	"EA"
"COCKPIT FLOOR AND DRAMPLE PAINT PEEL OFF"	"WSPT"	"WSPT"
"[DD] 106878638: ALL COCKPIT SEATS FAIRIN"	"CBN,WSSS"	"CBN"
"[DD] 106878626: LIGHT LENS COVER PARTIAL"	"CBN"	"CBN"
"MATERIAL COMPLETION AFTER OPEN ACCESS"	"AP,CBN"	"EA"
"HANDLE AT ALL LAVATORY DOOR DISCOLORATIO"	"CBN,WSCB"	"CBN"
"[DD] 106879438: GALLEY COMPARTMENT ELAST"	"CBN"	"CBN"
"FLOOR PANEL DENT P/N : 143A5810-90"	"CBN,WSSR"	"CBN"
"LH ACM RAM INLET DOOR LIP PAINT PEEL OF"	"WSPT"	"WSPT"
"RH NOSE LANDING GEAR DOOR PAINT PEEL OFF"	"WSPT"	"WSPT"
"VHF #3 ANTENA LEADING EDGE HAS NICK AND"	"EA"	"EA"
"AFT SERVICE DOOR BRACKET LOWER LINING CRACK"	"CBN,WSSR"	"CBN"
"AS CUSTOMER REQUEST, FUNCTIONAL CHK OF E"	"CBN"	"CBN"
"R1 DOOR HINGE COVER WAS PAINT PEEL OFF"	"CBN,WSCN,WSSS"	"CBN"
"AS CUSTOMER REQUEST, REPLACEMENT OF LED"	"EA"	"EA"
"R/H SLIDING WINDOW ROLLER SHADE TEAR OFF"	"CBN"	"EA"
"FWD CURTAIN SOME HOOK BROKEN"	"CBN"	"EA"
"TROLLY DIVEDER AT FWD GALLEY WAS DAMAGE"	"CBN,WSCB"	"CBN"
"TROLLY DIVEDER AT AFT GALLEY WAS DAMAGE"	"CBN,WSCB"	"CBN"
"LANDING GEAR SELECTOR VALVE (40 GA) TAKEN FOR SERVICE PK-GTJ"	"AP"	"EA"
"FWD CARGO FLOOR 131HF WAS PUNCHED"	"AP,WSSR"	"EA"
"CABIN FLOOR BROKEN P/N : 147A5810-136"	"CBN,WSSR"	"CBN"
"NOSE RADOME HAS EROSION"	"EA,WSPT,WSST"	"EA"
"LH SLAT NO #4 INBD TRACK NEED RECOATING"	"AP,WSPT,WSST"	"AP"
"LESSOR FINDING - AFT CARGO COMPT WITH CORROSION ON WEB TOP SURFACE (LH SIDE) STA1323"	"STR"	"GAH402S1"
"RH ENG FAN BLADE S/N B0206 BLACK POLYURE"	"AP,WSST"	"AP"
"RH ENG FAN BLADE S/N 0107 BLACK POLYURET"	"AP,WSST"	"AP"
"(LEESOR FINDINGS) Galley 5 - Beverage Maker (511) compt lower trim wirh muitpledents and profile irregularity"	"WSCN"	"W402"
"(LEESOR FINDINGS) Galley 5 - Compt 539 Waste Bin Compt door hinge migrated and protruding at the bottom"	"WSCN"	"W402"
"LAV D AFT OUTER WALL MATING SEAL PUNCTUR"	"WSCB"	"WSCB"
"AFT CARGO FLOOR #1 HAS MULTIPLE DENT"	"AP,STR,WSPT"	"EA"
"PLACARD DAMAGED OUTSIDE DOOR LAVATORY 4F"	"CBN,WSPT"	"CBN"
"RH AND LH EMERGENCY DOOR AREA , FASTENER"	"WSPT"	"WSPT"
"RH WING LOWER SURFACE LEADING EDGE BTW R"	"NA,STR,WSNC,WSPT"	"EA"
"BONDING LEAD AT RH WING RIB #11 (640 FB) BROKEN 2EA"	"EA"	"EA"
"ENG#2 DEFLECTOR KRUEGER CHAFING"	"AP"	"EA"
"RH PLATE CLOSING SUPPORT STRUCTURE BELLY FAIRING AT FR 35 CRACKED"	"STR"	"EA"
"AFT CARGO CEILING #1 upto #6 NEED REPAIR (151 AC , 151 BC , 151 GC , 151DC , 161 AC , 161 BC)"	"AP,WSPT,WSSR"	"AP"
"AFT CARGO SIDEWAL LH #1 NEED REPLACE"	"AP,WSPT,WSSR"	"AP"
"AFT CARGO CEILING LH #4 HAS TEAR"	"AP,STR"	"AP"
"ALL GALLEY CEILING DISCOLORATION"	"CBN,WSCN,WSSS"	"WSCN"
"RH ENG UPPER PYLON PLACARD MISSING"	"WSPT"	"WSPT"
"LH WING I/B FLAP PAINT PEEL OFF LOWER SI"	"WSPT"	"WSPT"
"LH ENG AIR INTAKE NEED REPAINT"	"WSPT"	"WSPT"
"RH WING UPPER SURFACE T/E OVERHANG AT RIB 10 FASTENER LOOSE"	"STR"	"GAH406S1"
"LIFE VEST POCKET BROKEN POST: 42E"	"CBN,WSSS"	"CBN"
"HYD SERVICING PANEL 198DR FOUND CRACK"	"AP,WSPT,WSST"	"AP"
"57QT1 FOUND DASH-DASH ON FUEL INPUT PARAMETER"	"AP,EA,NA,STR"	"AP"
"RH WING SLAT #5 O/B SEAL TIPS TEAR OFF"	"AP"	"AP"
"TOILET SERVICE PANEL BONDING CABLE FRAYING 2EA"	"EA"	"GAH406E1"
"AFT CARGO SIDE WALL 151CW DAMAGE"	"AP,WSPT,WSSR"	"EA"
"WINDOW 2L SUNSHADE WAS TORN"	"CBN"	"CBN"
"STATIC DISCHARGE BAD CONDITION FROM LIGH"	"EA"	"EA"
"NEED VELCROW FOR STRAP FOR FIRST AID KIT"	"CBN"	"CBN"
"[REFF OIL-339] RH FWD SVC DOOR DAMPER CHARGING VALVE COROSSION"	"CBN"	"CBN"
"PHY-1059 CABIN LAV E - UPPER PANEL DAMAGE PAINT WORK"	"WSCB,WSSS"	"WSCB"
"PHY-1064 CABIN LAV E - BOTTOM FLOOR INSERT CORROSION"	"WSCB"	"WSCB"
"LOWER LEADING EDGE VERSTAB ERODED"	"WSPT,WSSR"	"WSSR"
"RH WING SLAT #8 LOWER SURFACE CHAFED"	"AP,WSNC,WSPT,WSSR"	"EA"
"""FINDING LESSOR"" - CABIN FLOOR PANEL 232YF SCRATCH"	"CBN,WSSR"	"EA"
"PHY-1074 CABIN LAV E - WASTE CHUTE FLAP DAMPER IS CORRODED"	"WSCB"	"WSCB"
"FWD LH DOOR LINING PAINT DISCOLORATION"	"CBN,WSCN,WSSS"	"EA"
"FWD RH DOOR LINING PAINT DISCOLOROTION"	"CBN,WSCN,WSSS"	"EA"
"ALL PLACARD PASSANGER LINING DOOR WERE AGING"	"CBN,WSPT"	"CBN"
"FWD CARGO STA 460-520 LH PLACARD BROKEN 1 EA"	"AP"	"EA"
"CUST FINDING: SEAT 68BC AMREST LOOSE AND"	"WSSS"	"WSSS"
"LEAD BONDING AT R/H CANOE NO# 3 BROKEN 1 EA"	"EA"	"EA"
"CUST FINDING: SEAT 68H CAP SUPPORT LOOSE"	"CBN,WSSS"	"CBN"
"CUST FINDING: SEAT 84A ARMREST STRUCTURE"	"CBN,WSSS"	"CBN"
"MAIN DECK CABIN FLOOR SUPPORT CORRODED D"	"CBN,STR,WSNC"	"CBN"
"AFT FUSELAGE INSIDE APU FIREX COMPARTMEN"	"AP"	"AP"
"LH I/B AND O/B HORSTAB PCP LEAK"	"AP"	"AP"
"LAV E HINGE BABY TABLE SUSPECT CORODED"	"CBN"	"CBN"
"G#5 504 MIRROR FOR POB AT CONTAINER ATTACHMENT BAD CONDITION"	"CBN"	"CBN"
"RH WINGLET TIP LIGHTING STRIKE"	"STR,WSPT,WSSR"	"STR"
"GALLEY 1 WASTE FLAPPER DOOR SIGN PEEL OF"	"WSPT"	"WSPT"
"LH TAIL NAV LIGHT LENS CRACKED."	"EA"	"EA"
"REF TO EEL, DEMOKIT ALL POSITION NOT INSTALL EXCEPT POST:1RH"	"CBN"	"CBN"
"WINDOW SHADE ON CTR LINNING DOOR 1L TEAR"	"CBN"	"CBN"
"AFT CARGO TIE DOWN TRACK BS 727G - 727I STR 26L CRACK"	"STR,WSPT,WSST"	"STR"
"BUMPER DOOR SHROUD NOT INSTALL LAV. BS1"	"CBN"	"CBN"
"FOUND UNDER TRESHOLD OF LAV CC21 CORROSS"	"WSCB"	"WSCB"
"APU COMPARTMENT FRAME DEFORMATION"	"AP,STR"	"AP"
"RUBBER SEAL AT UPPER SURFACE FLIGHT DECK"	"CBN"	"CBN"
"AFT PASSENGER COMPARTMENT FLOOR BEAM INTERCOSTAL LBL 64 BTW BS 947-967 CORROSIONLEVEL II"	"STR"	"STR"
"RH WING TANK CUTOUT BTW WS 405.50-432.5"	"STR,WSNC"	"STR"
"CARPET AISLE DIRTY"	"WSSW"	"WSSW"
"FINDING LESSOR LAV 'D' DOOR VINYL LAYER ABOVE DOOR KNOB-SCRATCH OBSERVED"	"WSCB"	"WSCB"
"RADOME NEED REPLACED DUE TO CUSTOMER REQUEST"	"EA"	"EA"
"ALL SEAT BELT ON ATTD SEAT WERE DIRTY"	"CBN,WSLS"	"CBN"
"FINDING LESSOR : READING LIGHT KNOBS PAINT WORN OUT-EXCESSIVE WEAR SAME TO BE REPLACED"	"EA"	"EA"
"RH PYLON FUEL PIPE NOTED SHARPEN DENT"	"AP"	"AP"
"ALL FIRE SEAL BROKEN AT CNA ENG#2"	"WSSR"	"EA"
"LESSOR FINDING - NICKS DUE TO LIGHTNING"	"STR,WSNC"	"STR"
"LESSOR FINDING - SIGN OF EDLAMINATION ON"	"WSPT,WSSR"	"WSPT"
"LESSOR FINDING - CRACKED PAINT & SUSPECT"	"STR"	"STR"
"ATTENDANT SEAT DOOR 2RH FWD DISCOLOURATI"	"CBN,WSSS"	"CBN"
"ATTENDANT SEAT DOOR 3LH DISCOLOURATION"	"CBN,WSSS"	"CBN"
"LESSOR FINDING - MULTIPLE SCRATCHES LOCA"	"STR"	"STR"
"FINDING LESSOR : NOSE LANDING GEAR PAINT PEEL OFF - NEED TO BE REPAINT"	"WSPT"	"WSPT"
"FLASHLIGHT POST.CAPT AND FO NO BLINKING"	"CBN"	"CBN"
"READING LIGHT NOT ILLUMINATE DURING ALL"	"CBN"	"CBN"
"LH PYLON PANEL 471AR EROSION"	"WSPT,WSSR"	"EA"
"APU GEN #1 AIR COOLING DUCT HOSE TORN OU"	"AP,EA"	"AP"
"LEAK MEASUREMENT VALVE BLUE AND YELLOW ANNOCIATOR INTERMITENT"	"EA"	"EA"
"EXT F/L SKIN BTW BS 294.5 - 360 STR 27R"	"STR,WSNC"	"STR"
"FINDING LESSOR : BELLY FAIRING SUPPORT STRUCTURE CORROSION OBSERVED ON 'BELLY FIRING SUPPORT STRUCTURE'"	"STR"	"EA"
"EXT FUSELAGE SKIN AT BS 285.62 STR 25R-2"	"STR,WSNC"	"STR"
"HOLD DOWN RACK AT FMC #2 FOUND LOOSE"	"EA"	"EA"
"EXT FUSELAGE SKIN BTW BS 360-420 STR 27R"	"STR,WSNC"	"STR"
"ENG #1 EDP CAN NOT DEPRESSURIZATION AFTE"	"AP"	"AP"
"ENG #2 PNEUMATIC STARTER VALVE PN: 790424-4 NEED TRANSFER FROM ESN V10341(OLD) TO ESN V12851(NEW)"	"AP,NA"	"EA"
"EXT FUSELAGE SKIN AT BS 211.8 STR 20L-21"	"STR,WSNC"	"STR"
"CROSS JUNCTION HOSE TAKEN FOR PK-GPF (PN:NSA85140-22D)"	"EA"	"EA"
"MAIN DECK SEAT TRACK AT STA 480 - 520 LBL 75.92 CORRODED"	"CBN,STR,WSPT,WSST"	"CBN"
"NEGATIVE LEAD OF APU BATTERY CHARGER DAM"	"EA"	"EA"
"FWD CARGO BALL TRANSFER PANEL PAINT PEEL OFF POS #7"	"AP,WSPT"	"AP"
"RH WING SLAT NO#1 OUTBOARD SEAL HAS TEAR"	"AP"	"EA"
"ENG #1 RH FAN COWL OUTER SKIN AFT VENT ASSY NOTED WITH EROSIONS ON AFT EDGE"	"WSPT,WSSR"	"EA"
"FLOOR PANEL P/N 146A5810-102 DENT"	"AP,CBN,WSSR"	"AP"
"SIDEWALL NOT INSTALLED PROPERLY POST SEA"	"CBN"	"CBN"
"EXT FUSELAGE SKIN BTW STA 887-905 STR 26"	"STR,WSNC"	"STR"
"AFT CARGO DOOR ECCENTRIC NEED NEW COTTER PIN 15 EA PN MS24665-374"	"AP"	"AP"
"AFT CARGO TRACK BOLT COP BROKEN 60 EA"	"AP"	"AP"
"FWD CARGO QUICK FASTENER DOOR LINING HAS"	"AP"	"EA"
"CAPT BOTTOM AND BACKREST COVER ERODED"	"WSSW"	"WSSW"
"PANEL COCKPIT 211PW(LH) PAINT DISCOLOURA"	"CBN,WSCB,WSSS"	"CBN"
"ARM CAP NOT PROPER INSTALL POST SEAT : 3"	"CBN"	"CBN"
"LH WING NAV LIGHT LENS COVER BLUR. POS F"	"EA"	"EA"
"APU HARNESS ASSY TAKEN FOR PK-GMK (AML S"	"EA"	"EA"
"BONDING CABLE AT WASTE SERVICE PANEL & P"	"CBN"	"CBN"
"TRIM TANK PANEL NEED PURGING"	"STR"	"STR"
"AFT CARGO ""NO STEP"" PLACARD BAD CONDITIO"	"AP,WSPT"	"AP"
"RH MLG BOGIE PITCH TRIMMER FITTING ELBOW BROKEN"	"AP"	"AP"
"ENG #2 OVP VALVE CANNOT FULL CLOSE AT PRESSURE MORE THAN 90 PSI"	"AP"	"AP"
"SIDEWALL U/D WAS SCRACTH AND PEEL OFF PO"	"CBN,WSSS"	"CBN"
"ROLLER SHADE WINDOW 2 RH FOUND NOT COMPLETE"	"CBN"	"CBN"
"WX RADAR DRIVE UNIT NOT COMPLETE"	"EA"	
"FWD SVC DOOR WAY FRONT SIDE FOUND CRACK"	"CBN,WSCB,WSSS"	"CBN"
"EMERG. DOOR LINNING AFT RH LAMINATE PEEL OFF"	"CBN,WSCB"	"CBN"
"LH ENGINE FIREX BOTTLE NOT COMPLETE"	"AP"	
"FWD PANEL ARROUND LAV SHROUD WAS DISCOLOURATION"	"CBN,WSCN,WSSS"	"CBN"
"FLOORMAT OF ALL LAV FLOOR PAN EROSION"	"CBN"	"CBN"
"ALL LAV ASSIST HANDLE PAINT PEEL OFF"	"CBN,WSCN,WSSS"	"CBN"
"CAP CUSHION AT COCKPIT BAD CONDITION (SMALL 26 EA, BIG 10 EA)"	"EA"	"EA"
"RH PYLON PANEL 481AL Y SEAL TEAR OFF"	"AP"	"AP"
"NO 2 ENGINE O/B T/R SLEEVE LIGHTNING STRIKE (REF DAR#2)"	"AP,NA"	"AP"
"DELAMINATION 81/2""W x x6 1/4 H 1"" FROM I/B EDGE 1/4""FROM T/E O/B AFT FLAP LOWER I/B UPPER SKIN (REF DAR#30)"	"NA"	"EA"
"FUSELAGE STA 178 FWD OF CAPT PITOT PROBE LIGHTNINGSTRIKE(REF DAR#64)"	"AP,STR,WSNC,WSPT"	"EA"
"AFT CARGO CAPSTRIP LH#4 (FLOOR LIST) HAS CORRODED"	"AP,STR,WSPT"	"EA"
"FWD AND AFT PASSANGER DOOR SCUFFPLATE WERE PUNCTURE"	"CBN,WSSR"	"EA"
"GALLEY 4 BUMPER COMPARMENT 418 UNPROPER INSTALL"	"WSCB"	"EA"
"PAX DOOR INTERNAL STRUCTURE AFT SIDE ANGLE CRACK"	"STR,WSNC"	"EA"
"RH FWD PAX/CREW DOOR FABRIC TAPE PRESSURE HAS TEAR AT LOWER"	"CBN"	"EA"
"RH MLG LEG DOOR SERRATED PLATE COVER NEED PAINTING"	"WSPT"	"EA"
"8B2 CABIN FLOOR WAS DENT PN : 144A5810 - 190"	"CBN,WSSR"	"CBN"
"BONDING HAS BROKEN AT RH FLAP TRACK NO.2 1EA"	"EA"	"EA"
"ESCAPE HARNESS NOT INSTALL QTY : 1EA"	"CBN"	"CBN"
"FLIGHT WINDOW R2 WAS SCRATCH"	"CBN,WSPT,WSST"	"CBN"
"ENGINE #2 INDOARD SIDE THRUST REVERSER S"	"AP"	"AP"
"APU OIL LEVEL SENSOR SHOW CIRCUIT FAILUR"	"EA"	"EA"
"LH WINDSCREEN AT FWD FACE LAMINATE DAMAG"	"CBN,WSCN"	"CBN"
"LATCH HANDLE DOOR LUGGAGE BIN BROKEN 1EA"	"CBN"	"CBN"
"RUDDER YELLOW SERVO HAS EXCESSIVE PLAY:"	"AP"	"AP"
"BULK CARGO SIDEWALL PANEL 161BW FOUND PU"	"WSPT,WSST"	"WSPT"
"FWD CARGO SIDEWALL PANEL 131FX FOUND PUN"	"WSPT,WSST"	"WSPT"
"WHEEL NO 2 FOUND WORN OUT"	"AP"	"AP"
"LH FLAP FAIRING 531AB SEAL HAS TEAR OFF"	"STR"	"STR"
"MLG NO 7 HARNESS BRACKET BROKEN"	"EA"	"EA"
"RDU BEHIND SEAT 25A,25H,39C,39D FOUND CR"	"CBN"	"CBN"
"FOUND WATER INGRESS AT LH AND RH RUDDER"	"WSNC,WSSR"	"WSPT"
"REF AML SEQ. 34 NOSE RADOME TAKEN FOR PK"	"EA"	"EA"
"FWD CABIN COMPT BTW FR.14 - FR.16, Y 173"	"STR,WSPT"	"STR"
"FWD CABIN COMPT BTW FR.15 to FR.16 (Y503"	"STR"	"STR"
"AFT CARGO LH SIDEWALL #5 NEED REPLACE"	"AP,WSPT,WSSR"	"AP"
"PRV ENG #1 CAN NOT FULLY CLOSED DURING O"	"AP,EA"	"AP"
"BUFFERS LH STOWAGE BIN DOOR WERE WEAK No"	"CBN"	"CBN"
"GRILL OF SMOKE DETECTOR AT LAV A CRACK N"	"CBN"	"CBN"
"FWD CARGO COMPT BTW FR.29-FR.30 STGR 41R"	"STR,WSNC,WSPT"	"STR"
"RH ENG OTB T/R AT AFT INTERNAL SURFACE H"	"NA,WSSR"	"NA"
"LH ENG EXHAUST I/B SIDE OUTER SEALS HAS"	"AP"	"AP"
"RH ENG INLET COWL AT EXTERNAL SURFACE HAS EROSION"	"WSSR"	"WSSR"
"RH SLAT PANEL SEALAT DAMAGE"	"STR"	"STR"
"ENG#1 EXHAUST NOZZLE RIVET NOT INSTALL 1"	"WSST"	"WSST"
"ENG#1 EXHAUST NOZZLE RIVET NOT INSTALL 1"	"AP"	"AP"
"PYLON#1 AFT FAIRING WASHER NOT INSTALL 2"	"AP"	"AP"
"LH PLENUM CHAMBER MUFFLE BROKEN"	"EA"	"EA"
"RUDDER TIP AND VERTICAL STABILIZER TIP S"	"EA"	"EA"
"AFT CARGO DOOR SILL MECHANISM HANDLE WIR"	"AP"	"AP"
"REFF AML SEQ.31 (21 JUN 2020) UPPER SKIN"	"AP,WSNC,WSPT,WSSR"	"AP"
"CRADLE HEADSET DOOR 2 LH NOT PROPER INST"	"CBN"	"CBN"
"PAX WINDOW FAIRING FOUND CRACK POST 1LH,"	"CBN,WSCN"	"CBN"
"MANY PAX SEAT SIDE FAIRING DIRTY"	"WSSE"	"WSSE"
"ALL MONITOR Y CLASS SEAT POST IAT PAINT"	"CBN,WSSS"	"CBN"
"FWD CARGO COMPT AT FR.27 STGR 44 - 43R C"	"NA,STR,WSPT"	"STR"
"ALL ATTD SEAT PAINT PEEL OFF (REPAIR ON"	"CBN,WSSS"	"EA"
"CABIN FLOOR PANEL 231AF SURFACE DELAMINA"	"CBN,WSSR"	"CBN"
"FINDING LESOR- G1 AND G5, PLEASE REMOVE"	"CBN"	"CBN"
"FINNDING LESSOR-G5,COMPARTMENT 517 LH LO"	"CBN"	"CBN"
"FINDING LESSOR : PRESELECTOR REFUEL PANE"	"EA"	"EA"
"LANDING LIGHT MEMO (REF.HIL SEQ.89 CAT.C"	"EA"	"EA"
"RH WING FLAP FAIRING #2 POS FWD PAINT PE"	"WSPT"	"WSPT"
"FINDING LESSOR : RH WING SPOILER #1 LEAD"	"WSPT,WSSR"	"AP"
"EXT F/L SKIN BTW FR 20 - 21 STR 43L - 44"	"STR,WSNC,WSPT"	"STR"
"PAPER PRINTER HAS EMPTY"	"EA"	"EA"
"ALL CABIN EMERGENCY LIGHT NOT ILLUMINATE"	"CBN"	"CBN"
"DOOR LUGGAGE BIN PAINT BAD CONDITION POS"	"CBN,WSCB,WSSS"	"CBN"
"FINDING LESSOR: LH WING SPOILER NO 1 ID"	"WSST"	"WSST"
"RH WING UPPER BODY FAIRING HAS EROSION"	"WSSR"	"WSSR"
"REF. CUST. REQUEST : BALLAST OF WASHLIGH"	"CBN"	"EA"
"ENG#2 PRECOOLER SURFACE HAS A CORROSION"	"AP"	"NA"
"[FINDING LESSOR] LH WING TANK PANEL 550CB INSIDE AREA ARE CORRODED AND DIRTY"	"STR"	"EA"
"THRUST REVERSER RH/INBOARD (LH ENG) - REMOVAL / INSTALLATION"	"AP"	"EA"
"[FINDING LESSOR] RH WING TANK 640HB FOUND SEVERAL ELONGATED FASTENER HOLE COUNTERSINKS AND SIGN OF CORROSION. ASSESS AND REPAIR IAW APPROVED DATA"	"STR,WSPT"	"EA"
"LAV E WASHBASIN PANEL FOUND PAINT PEELED OFF AND SCREW CORROSION"	"CBN,WSSS"	"EA"
"SIDEWALL LIGHT POS SEAT 22 ABC BLINKING"	"CBN"	"EA"
"LH WING SLAT #1 I/B AUXILIARY ARM GUARD SIDE SUSPECT CHAFED"	"AP,WSPT,WSSR,WSST"	"AP"
"LH WING LEADING EDGE SLAT #2 DENT"	"STR,WSNC"	"EA"
"RH WING SLAT #5 O/B AUXILIARY ARM GUARD SIDE SUSPECT CHAFED"	"AP,WSSR,WSST"	"AP"
"F/O PITOT PROBE SEND TO SHOP(AML SEQ.16)"	"EA"	"EA"
"RH ENG PYLON PANEL SCREWS HAS NOT COMPLETE"	"AP"	"EA"
"ALL AREA THAT CIC HAS BEEN REMOVED AND FINISHED INSPECT, NEED PERFORMINGRE-CIC"	"AP,CBN"	"EA"
"LEG REST SEAT 7C & 8K CAN NOT RETRACT"	"CBN"	"EA"
"LH WING SPOILER #4 LOWER SURFACE DENT"	"AP,WSNC,WSPT,WSST"	"WSSR"
"RH WING UPPER SURFACE FRONT SPAR BTW WBL94.24-WBL616.75 CORRODED"	"STR,WSNC"	"STR"
"UNDER AFT LH LAV DRIMPLE FOUND CORROSION"	"WSCB,WSST"	"EA"
"FWD CABIN FLOOR POST AISLE ( FWD B1 ) DAMAGE PN: 141A5810 - 728"	"CBN,WSSR"	"CBN"
"LIFE VEST UNDER YOUR SEAT PLACARD TABLE NEED REPLACE 180 EA"	"WSPT,WSSE"	"EA"
"RH FWD PINTLE PIN SEAL ASSY BEARING TEAR OFF 1EA"	"AP"	"AP"
"LH MAIN L/G FWD PINTLE PIN FIXED BUSH NICK AND MULTIPE SCRATCH"	"WSNC,WSST"	"WSSR"
