"DESCRIPTION","SKILL","SKILL_ACTIVE","TARGET"
"ALL SERVICE CABINET PANEL LOWER LAVATORY PAINT DISCOLORATION","CBN,WSCB,WSSS","CBN","2"
"FWD CARGO DOUBLE ROLLER PDU (14MY221) WH","AP","AP","0"
"FWD CARGO LATCH 42 (SINGLE) SPRING MISSI","AP","AP","0"
"LH WING MOVEABLE CANOE #3 FWD LINK OVERP","AP,WSST","AP","0"
"ATTD SEAT DOOR 2 RH FWD PAINT DISCOLORATION","CBN,WSSS","CBN","2"
"ATTD SEAT DOOR 4RH IN PAINT DISCOLORATION","CBN,WSSS","CBN","2"
"FWD CARGO PARTITION PANEL 131AW TEMPORAR","WSPT,WSST","WSPT","4"
"FWD CARGO CEILING PANEL 132 HC DEFORMATI","WSPT,WSST","WSPT","4"
"MIRROR ASSY LAVATORY L33 DIRTY","CBN","CBN","2"
"EMERGENCY ELECTRICAL UNABLE TO DEPLOY IN FLIGHT","EA,NA","EA","1"
"CAPTAIN SEAT BOTTOM CUSHION COVER TORN","CBN","CBN","2"
"LESSOR FINDINGS LIGHT PLATE AT FLAP/SLAT","EA,NA,WSPT","EA","1"
"BRACKET OIL COOLER AND BOLT 4EA TAKEN FOR PK-GPS","AP","AP","0"
"FLOOR PANEL 251FG SCRATCH","CBN,WSST","CBN","2"
"RECEPTACLE OF PANEL 192CB BROKEN 4EA","STR","STR","3"
"""SNUBBER L/BIN DOOR WEAK ZONE FWD LH -3LH,4LH,5LH,8LH # ZONE FWD RH -2RH,4RH,7RH,8RH # ZONE FWD CTR RH-2 CTR RH # ZONE FWD CTR LH -4LH""","CBN","CBN","2"
"BARRIER STRAP POSITION DOOR 3LH WEAK BACK TO STOW","CBN","CBN","2"
"PAINT DAMAGED ON BELOW DOOR #2 LH (BS 34","AP,WSPT","AP","0"
"SCREW OF PLATE METAL AS FOR ACCESS PANEL AT LOWER COFFEE MAKER FOUND CORROSION 4EA POSITION GALLEY 1","CBN","CBN","2"
"AFT BELLY FAIRING SUPPORT FR. 53.9 - 54","NA,STR,WSNC,WSPT","NA","8"
"EXTERNAL POWER PANEL BONDING CABLE DAMAG","EA","EA","1"
"FWD CARGO FLOOR #1 HAS MULTIPLE DENT","AP,STR","EA","1"
"LH AILERON TAB PAINT PEEL OFF","AP,WSPT,WSST","EA","1"
"CARGO FIREX LIGHTPLATE CONTROL PANEL PAI","AP,EA,WSPT","EA","1"
"UPPER SEAL COCKPIT PANEL NOT COMPLETE","CBN","EA","1"
"TRIM CARPET WAS BROKEN","CBN","EA","1"
"LH WING TANK PANEL SCREW BROKEN","AP","EA","1"
"SOME OF STATIC DISCHARGER AT LH HORSTAB","EA","EA","1"
"SIDE PANEL RH&LH ATTD AFT RH CORROSION","WSSS","EA","1"
"CABIN SIDEWALL PANEL BRACKET BROKEN - 3L","CBN","CBN","2"
"Cabin Inner Pane Window Scratch - 4LH(FW","CBN","CBN","2"
"FWD CARGO FLOOR LIST HAS CORROSION","STR,WSPT","EA","1"
"B/E SEAT REAR ARMREST PEEL OFF ALL AISLE","WSSE","EA","1"
"VHF #3 antenna LE protective cover damage","EA","EA","1"
"LESSOR FINDING - MARKER BEACON ANTENNA ERODED, PROVIDE APPROVED DATA OR REPLACE","EA","EA","1"
"LESSOR FINDING - AFT DRAIN MAST DAMAGED / CORRODED AT TIP","AP,EA","AP","0"
"LESSOR FINDING - RADOME APPEARS TO BE MIS RIGGED, IS UNDER FLUSH AT TOP AND OVERFLUSH AT BOTTOM, ASSESS IAW APPROVED DATA","AP","AP","0"
"CREW OXYGEN BOTTLE EXPIRED AND LOW PRESS","CBN","EA","1"
"RH FUSELAGE FOUND WRINKLE AT BTW FR 57.4 - FR 57.3 AND BTW STR 38 -STR 36 RH","NA,STR,WSPT","EA","1"
"LH WING NAVIGATION LIGHT COVER FOUND BLUR","EA,WSCB","EA","1"
"AFT CARGO RH LOWER SIDEWALL LINER #3 TORN OFF","AP,STR","EA","1"
"DOOR DAMPER POSITION 4LH YELLOW BAND","CBN,WSSW","EA","1"
"ENG #1 ESN V15702 IDG QAD REMOVE FOR ENG SENT TO OEM","AP","AP","0"
"PLATE ASSY MOUNTING HAS CRACK AT RH FIX FAIRING","AP,WSSR","AP","0"
"ALL DOOR OVENS WERE DIRTY","CBN","EA","1"
"ALL DOOR REFRIGERATORS WERE DIRTY","CBN,WSSS","EA","1"
"FWD CARGO DOOR STOPPER CHAFED","STR","STR","3"
"RH AND LH MLG W/W CUT OUT SEAL HAS BROKEN","AP","AP","0"
"LH WING TRAILING EDGE (ABOVE MLG SPRING)SEAL HAS BROKEN-FIXED UNDERWING","AP","AP","0"
"REARCAP (RH) MISSING POS 21E","WSSE","WSSE","9"
"POCKET COVER TORN POS 3DF, 4F, 10D, 15E, 17EF, 21DF, 29DE","NA,WSSE","WSSE","9"
"CONTROL/AISLE STAND PANEL LIGHT NOT ILLUMINATES","EA","EA","1"
"FWD RH ASSIST HANDLE ASSY DIFFERENT COLOUR","CBN","CBN","2"
"MD PDU was broken","AP","EA","1"
"NEED RE ASSESSMENT LIGHTNING STRIKE BS 5","STR,WSNC","STR","3"
"LH AFT BOOSTER PUMP TAKEN FOR PK-GMV","AP,EA","EA","1"
"MDC PIN OF ROLLER HAVE NOT INSTALLED 8 EA","AP","AP","0"
"RH AILERON BALANCE PRIMER PEEL OFF","WSPT","WSPT","4"
"LH ''OUTLET SWING OUTWARD'' MARKING HAS EROTION","WSPT","WSPT","4"
"LH WING SLAT #2 INBOARD TIP SEAL HAS BROKEN","AP","AP","0"
"ENG#1 PYLON PANEL 413AR HAS PAINT PEEL OFF","WSPT","WSPT","4"
"POTABLE WATER SERVICE PANEL BONDING CABL",,,"9"
"RH WING SPAR BOX RIB 5 - RIB 6 PAINT PEE","WSPT","WSPT","4"
"LH ENG PYLON AFT MOVABLE FAIRING BONDING LEAD HAVE BROKEN 2 EA","EA","EA","1"
"LH MLG FIX DOOR UPPER AND LOWER AFT FITTING HAS EXCESSIVE PLAY",,"AP","0"
"2 EA PAX LIFE VEST NOTEFFECTIVE","CBN","CBN","2"
"SOME ARM ESCUTCHEON FOUND CRACK AT SEAT",,,"9"
"FLAPPER ASSY OF GALLEY #5 LH SIDE WAS BR",,"CBN","2"
"LAVATORY D TABLE NURSE BUMPER MISSING 1E",,,"9"
"AFT RH DOOR DAMPER WAS LOW PRESS 1620PSI",,"CBN","2"
"LUG BIN DOOR WEAK POS 1DEF/20DEF",,,"9"
"EXTENAL FUSELAGE SKIN BTW FR 69-FR70 AND","STR,WSNC","STR","3"
"AFT CAGO R/H SIDEFLOOR #4 POST. LOWER FOUND PUNCTURE",,"AP","0"
"AFT CARGO SIDEWALL #2 L/H FOUND DELAMINATION",,"AP","0"
"FWD ATTD (LH) SEAT PAINT DISCOLORATION",,,"9"
"FORWARD CARGO ON SPLICE STRINGER AT FR.3",,,"9"
"AFT CARGO COMPARTMENT ANGLE PARTISION AT FR.65 STGR 38LH-38RH CORROSION",,"NA","8"
"AFT CARGO COMPARTMENT PLATE JOINT ASSY AT FR.56 STGR 38LH-41LH CORROSION",,"NA","8"
"AFT CARGO SIDEWALL PNL 151RW TEMPORARY REPAIR BAD CONDITION",,,"9"
"AFT CARGO COMPARTMENT TIE DOWN POINT AT FR.51 STGR 38LH CORROSION",,"AP","0"
"C66 B1 PANEL EMERGENCY DOORS DISCOLOUR 8",,,"9"
"C74 LAVATORY PAN FLOOR L64 CRACK",,,"9"
"AFT CARGO SIDEWALL PNL 152GW DELAMINATIO",,,"9"
"CML C77 WASTE FLAP L64 WEAK",,,"9"
"C91 BARRIER STRAP DOOR 4RH FRYING",,,"9"
"AFT CARGO CENTER SCUFT PLATE HAS DENT (","AP,NA,WSSR","AP","0"
"ENG #2 CONTROL THERMOSTAT TAKEN FOR PK-G","AP","AP","0"
"RH WING SLAT ACCESS PANEL (621CB) HAS CR","AP,NA,WSPT,WSSR","AP","0"
"VHF 1 <(>&<)> 3 RECEIVER P/B SWITCH ON A",,,"9"
"C12 B2 RUBBER SEAL AROUND WASTE COMPARTMENT LAVATORY L11,L33,L34,L61,L64 WEREBROKEN.",,,"9"
"LH MLG STOP PAD AND STOPER AT SLIDING PI",,,"9"
"C25 B2 NUMEROUS ALL PLACARD LAVATORY WERE BAD CONDITION.",,,"9"
"AFT CARGO BREAKING ROLLER BROKEN 1EA",,,"9"
"ENG#1 RH UPPER FAN CASE HARNESS CLAMP HAS BROKEN",,"AP","0"
"KNOB LOUD SPEAKER AT CAPT SIDE CRACK 1EA",,,"9"
"AVIONIC COMPARTMENT ACCESS DOOR 1 EA LOCK CLIP BROKEN",,,"9"
"RH WING SLAT PANEL 623LB HAS EROSION",,,"9"
"RUBBER SEAL WAS BROKEN 2 EA AT RH FWD NLG W/W",,,"9"
"FWD CARGO PARTITION PANEL 132CX HAS DELA",,,"9"
"LH WING SLAT PANEL 521 BB HAS EROSION",,,"9"
"INSIDE GALLEY 525 AND 625 DENT",,,"9"
"AFT CARGO LH PROFILE CORNER FR 47-48 STG","STR,WSPT","STR","3"
"HYDROLOCK WEAK POS 3E","WSSE","WSSE","9"
"PLACARD NOT ORIGINAL POS 5D","WSSE","WSSE","9"
"PANEL 485AR PLACARD PEEL OFF","WSPT","WSPT","4"
"AFT CARGO BULKHEAD PANEL HAS COROTION","AP,WSPT,WSSR","AP","0"
"EDGE OF FWD CARGO DOOR PAINT FOUN EROSIO","WSPT","WSPT","4"
"VHF#3 ANTENNA HAS LIGHTNING STRIKE","EA","EA","1"
"PAX OXYGEN MASK NOT DROP AT SEAT 6,14,17","CBN","CBN","2"
"RH ENG INBD T/R HINGE LITE CORRODED","AP","EA","1"
"RH WING OUTBD AFT FLAP LOWER SURFACE SKIN DENT","WSNC,WSSR","EA","1"
"LESSOR FINDING - PANEL LABELLED PYLON PANEL , NO NUMBER,BUT PN IS D5451851400:UPPER Y SEAL WORN, LEADING EDGE IS ERODED,MULTIPLE PLIES (471BR)","AP,WSPT,WSSR","AP","0"
"LESSOR FINDING - PANEL 191AB, LH BODY FAIRING: BLADE SEAL IS WORN AND ERODED - REPLACE. EVIDENCE OF PREVIOUS FILLER REPAIR ALONG FASTENER ROW TOP EDGE OF PANEL.","AP,WSPT,WSSR","AP","0"
"LESSOR FINDING - PANEL PN D5754070101138 LABELLED AS RH WING CANOE PANEL#4 BUT MARKED ON INNER SURFACE AS 533AB: BLADE SEAL IS ERODED AND WORN. FASTENER HOLES A","AP","AP","0"
"LESSOR FINDING - PANEL 622EB: PANEL IS NOT AIRBUS PANEL, IS LOCALLY MADE, PROVIDE DFP AND APPROVAL. ADD TO REPAIR LIST IF DFP IS ACCEPTABLE.OLD SEALANT REQUIRES","AP,WSPT","AP","0"
"FINDING AFTER TEST FLIGHT : SOME PAX WINDOW SHADE HAVE CRACK POST 33A',31 A'30A', 25A', 21F', 15F', 11A', 1F'","CBN","CBN","2"
"CABIN WINDOW SHADE AT EMERGENCY DOOR POS 8LH, 9LH CRACK","CBN","CBN","2"
"LESSOR FINDING - 471CL BLADE SEAL WORN: SPECIFIC SCREW AND WASHER REQUIREMENTS REF DATA PLATE. CDB TO INSPECT PRIOR TO REFIT: NO FASTENERSATTACHED.","AP","AP","0"
"LESSOR FINDING - 532AT: OLD SEALANT REQUIRES REMOVAL.BULB SEAL IS WORN.","AP","AP","0"
"LESSOR FINDING - DADO LH 43-45 LABELLED U/S PROVIDE MDR TO MAKE SERVICEABLE. DECOR FOIL IS DAMAGED, QR FASTENERS MISSING","CBN,WSCN","EA","1"
"LESSOR FINDING :LAV E WASH BASIN DRAIN HOLE FOUND CORROSION","WSCB","WSCB","9"
"LESSOR FINDING :G#3A COMPARTMENT 301-302 BACK SEAL MISSING, PLEASE INSTALL","WSCB","WSCB","9"
"LESSOR FINDING :G#3A COMPARTMENT 302 SIDE WALL LOWER CORNER PUNCTURE AS MARK","WSCB","WSCB","9"
"LESSOR FINDING - SHORT BEAM AT APPROX Y780 CORRODED AT FR66 BARRELL NUT HOLES","STR","EA","1"
"SOME PAX READING LIGHT NOT ILL AT 16 F,17DEF,21AC, 24 DEF 10 EA","CBN","CBN","2"
"LESSOR FINDING :G#1 TRASH COMPARTMENT IS DIRTY, NEED TO BE CLEANED","CBN","CBN","2"
"EXT FUSELAGE SKIN BTW FR 53-54 STR 39L LIGHTNING STRIKE","STR,WSNC,WSPT","STR","3"
"LH WING I/B AFT FLAP BEARING OVERPLAY POST O/B AND I/B SIDE","AP,WSST","AP","0"
"FWD CARGO RH SIDEWALL#3 HAS DAMAGED","AP,STR","AP","0"
"AFT CARGO COMPT AT FR.61 STGR 44 PLATE UNDER TDP CORROSION","NA,STR,WSNC,WSPT","STR","3"
"PORTABLE OXYGEN BOTTLE VH-VUV TAKEN FOR","CBN","EA","1"
"PHY-1225 CABIN LAVATORY A DOOR LOUVER MISSING COATING","WSCB,WSSS","EA","1"
"RH AND LH L/E FLAP #3 UNPROPER MOVING ON PRIMARY CONTROL, ALTERNATECONTROL NORMAL","AP,EA","EA","1"
"WINDOW CRASH PAD POST 2LH LOOSE","CBN,WSCB","CBN","2"
"TOP COVER OF FLOOR PATH MARKING AISLE FOUND BROKE 2 EA","CBN","EA","1"
"ENG#2 FOUND DECAL BROKEN","WSPT","WSPT","4"
"LGCIU#2 FAULT ON TEST",,,"9"
"NEED PAPER PRINTER 4EA",,,"9"
"AIRCRAFT BATTERY #1 WEAK","EA,WS Battery,WSEM,WSUB","EA","1"
"APU STARTER TAKEN FOR PK-GRJ","AP","AP","0"
"RH WING TRAILING EDGE FLAP #7 AFT FAIRIN","AP,WSPT,WSSR","AP","0"
"ALL DOOR OVEN GALLEY PAINT PEEL OFF","CBN,WSPT","CBN","2"
"LAV A WASTE DOOR EX TOUCH UP","CBN,WSCB,WSCN,WSSS","CBN","2"
"ENG #1 CNA PEN-NIB RIVET LOOSE 13 EA LH",,,"9"
"ENG #1 DECALS PEEL OFF AT SOME PLACES","WSPT","WSPT","4"
"AFT CARGO SIDEWALL 152PW DELAMINATION","AP,WSPT,WSST","AP","0"
"WASH BASIN AT LAV L35, L36 NEED REPAIR A",,,"9"
"FWD CARGO COMP - AFT CORNER SCUFFPLATE H","AP,Repair Eng/APU Welding,WSNC,WSPT,WSSR","AP","0"
"PAD-WEAR AND SEAL AT KRUEGER #1 HAS WORN","AP","AP","0"
"BULK CARGO- SIDEWALL 161 BW DELAMINA","AP,WSPT,WSST","AP","0"
"RH RUNWAY TURNOFF LIGHT CLAMP LOOSE","EA","EA","1"
"SPOILER #4 UPPER SURFACE DENTS","AP,WSNC,WSSR","AP","0"
"REF AML SEQ 66 RH L/G DOORS CENTER AND I","AP","AP","0"
"FWD CARGO COMP - ALL PLACARDS AND MARKER","WSPT","WSPT","4"
"RH ECS BAY LIGHT NOT ILLUMINATE","EA","EA","1"
"AFT CARGO PANEL BULKHEAD AT BHD 947 HAS","AP,WSPT,WSSR","AP","0"
"LH SLAT UPPER SURFACE #1 HAS CORROSION","AP,WSPT,WSSR,WSST","AP","0"
"RH WING INBOARD SPOILER NO. 7 UPPER SURF","AP,WSNC,WSSR","AP","0"
"ENG #1 IDG CAP DUST LANYARD FRIYING","AP","AP","0"
"AFT CARGO TRACK FASTENER CORROSION","AP","AP","0"
"RIGHT WING TANK PANEL 632LB GASKET WAS B","AP","AP","0"
"RIGHT WING MAIN FUEL TANK 632PB ACCESS H","AP,STR,WSNC","AP","0"
"SLAT #1 ANGLE PLAT ACTUATOR SLAT CRACK","WSSR","WSSR","9"
"SMART MONITOR BAZEL LOOSE POS 32C","WSSE","WSSE","9"
"MONUMENT CTR EDGE RH/LH LAMINATE PEEL OF",,,"9"
"CURVE WALL L53,L54,L82 PAINT BAD CONDITI",,,"9"
"15 EA AFT LH AND RH LAV SCREW DOOR NOT C","CBN","CBN","2"
"TRIM AISLE CARPET BROKEN","CBN","CBN","2"
"AFT SERVICE DOOR PEEL OFF","CBN,WSCB,WSCN,WSSS","CBN","2"
"CLAMP BETWEEN HEAT EXCHANGER AND REHEATE","EA","EA","1"
"REF AML SEQ NO.37 WASHER AT PANEL 191BB","AP","AP","0"
"BONDING AT ACM AREA BROKEN 10EA","EA","EA","1"
"ENG#2 NOSE COWL NEED RESEALANT (4 LOCATION)","STR","STR","3"
"PYLON#3 FWD FAIRING NO.3 EROSION","WSPT,WSST","WSPT","4"
"RH WING V/C #22 UPPER LIP SEAL BROKEN","WSST","WSST","9"
"LH WING MOVABLE FAIRING #2 FWD LINK OVER PLAY","AP,WSST","AP","0"
"NOZZLE ASSY COMMON #1 SEVERAL OVERSIZED","WSSR","WSSR","9"
"RH WING KRUEGER #17 UPPER RUBBER SEAL TEAR OFF","AP","AP","0"
"RH AND LH LOWER WING SURFACE PLACARD FOU","WSPT","EA","1"
"NOSE RADOME HAS PAINT PEELED OFF","WSPT,WSST","WSPT","4"
"PBE BOX POSITION DOOR 1RH FOUND BROKE (P","CBN","CBN","2"
"ALL TAMPER SEAL PBE FOUND DISBOND","CBN","CBN","2"
"DOOR STOWAGE SPACER ATTD FWD I/B MISSING","WSSS","WSSS","5"
"ALL PLACARD WERE DISCOLORATION","WSPT,WSSS","WSPT","4"
"RH ENGINE ATTRITION LINNING ROUGH","WSSR","WSSR","9"
"PYLON#1 RH AFT FAIRING DOOR BONDING (6"") JUMPER BROKEN","EA","EA","1"
"P.O.B EXPIRED POST: 1RH (PN: 9700-C1A-BF20B, SN: ST74051)","CBN","CBN","2"
"FWD CARGO LH COVER PNEUMATIC DUCT BROKEN","AP,WSPT,WSSR","AP","0"
"AFT CARGO AFT CORNER SCUFFPLATE BROKEN","AP,NDT,Repair Eng/APU Welding,WSPT,WSSR","AP","0"
"RH WING BONDING BETWEEN SLAT #3 AND #4 HAS BROKEN","EA","EA","1"
"FASTENER STRIP COVER MISSING WASHER CAP","CBN","CBN","2"
"WATER COMPRESSOR INOP","CBN","CBN","2"
"[FINDINGF LESSOR] LEFT WING LEADING EDGE THE LENGTH OF THE WING EROSION","WSPT,WSSR","EA","1"
"FAUCET GALLEY 3 PUSH BUTTON MISSING","CBN","CBN","2"
"WHELL WELL HYD LINE BONDING BROKEN 9 EA","EA","EA","1"
"REFER TO ASDCS SEQ NO.02 AFT CARGO SCUFFPLATE DENT","AP,WSPT,WSSR,WSST","AP","0"
"CURVE WALL L53, L54 DENT AND PEEL OFF","WSCB,WSSS","WSCB","9"
"LH WING FIX TRAILING EDGE O/B AREA","WSPT","WSPT","4"
"LOWER RIGHT ACOUSTIC PANEL NOTED WITH PREVIOUS REPAIRS AT THE 5.30O’CLOCK LOCATION 3"" X 2"", 2"" X 1"" AND 1"" X 1.5"" AT INLET COWL #1","AP","AP","0"
"LOWER RIGHT ACOUSTIC PANEL NOTED WITH DISBONDED WIRE MESH AT THE LOWERFORWARDLOCATION 7"" X 30"" AT INLET COWL ENG #1","AP","AP","0"
"LANDING GEAR- NLG RUNWAY TURN OFF LIGHT","AP,WSPT","AP","0"
"LH BLG TRUCK POSITION ACTUATOR SAFETY WI","AP","AP","0"
"FLOOR PANEL 980-1100 2LH WERE DENT","CBN,WSST","CBN","2"
"BONDING JUMPER AT TRIM AIR DUCT AT RH WH","EA,NA","EA","1"
"RH WING OUTB FLAP HYREX TORQUE RUBE AT W","AP,WSST","AP","0"
"RH HORIZONTAL STABILIZER LOWER SURFACE P","WSPT","WSPT","4"
"LH WING INB. FLAP FIX CANOE #4 BUSHING N","AP","AP","0"
"MD CARGO FLOOR PANEL AT STA 520 LH FOUND","CBN,WSST","CBN","2"
"AFT CARGO FRAME DENT AT STA 727C AND STR 21L-22L","NA,STR,WSNC,WSPT,WSSR,WSST","NA","8"
"RUDDER TIP STATIC DISCHARGER AND STATIC","EA,STR","EA","1"
"FWD CARGO SIDE FLOOR RH NO.1 (UP & LOW),","WSSR","WSSR","9"
"AFT CARGO FLOOR NO 1,2,3,4,5 DAMAGE","NA,WSSR","WSSR","9"
"ENG #1 LH AFT FAIRING DOOR SCREW LOOSE 1","AP,WSST","AP","0"
"AFT CARGO SIDE WALL LH NO 1,2,3 & 5 DAMA","WSPT,WSSR","WSSR","9"
"RH WING SPOILER#4 SURFACE PAINT PEEL OFF","AP,WSPT","AP","0"
"FWD CARGO LH LOWER SIDE FLOOR #1 HAS SCTRACHES AND IMPROPER REPAIR","AP","AP","0"
"REF TECLOG FWD CARGO SEMI AUTOMATIC DOOR SILL RESTRAINT 1EA BROKE FWD SIDE","AP","AP","0"
"LESSOR FINDING - AFT VACUUM POWER OUTLET DECAL DAMAGE AND MISSING. MINORDAMAGEON TRIMAT HINGE CUTOUT","CBN,WSCN,WSPT,WSSS","WSPT","4"
"LESSOR FINDING - L2 WHITE NYLON TRIM ON TOP OF THE DOOR MISSING AND SOMEARE LOOSE","CBN","CBN","2"
"(LESSOR FINDING) MOST OF THE OHSC LATCH PAINT PEELED OFF","CBN,WSCN,WSSS","CBN","2"
"RH OUTBOARD T/R AFT RING EDGE FOUND EXISTING REPAIR","WSSR","STR","3"
"RUDER TIP AREA VOR CONNECTOR PLUG SIGN OF OXIDATION","EA","EA","1"
"[REF OIL-267] PANEL 633AB SEAL PATCHED WITH SEALENT","AP","AP","0"
"L/H ICE PROTECTION GRID WAS BROKEN 1EA",,,"9"
"LH MOVEABLE FAIRING #2 EROSION AT FWD SI",,,"9"
"CONNECTOR AT LH ELEVATOR WAS CORROSION A",,,"9"
"EXTERNAL FUSELAGE SKIN BS 887-1006 BTW STR 23L PEEL OFF","STR,WSPT","EA","1"
"EXTERNAL FUSELAGE SKIN BS 787-807 BTW ST","STR,WSNC,WSPT","EA","1"
"ALL OF THE PAX SEAT COVERS WERE DIRTY","WSLS,WSSW","EA","1"
"LH RH LOWER WING SUMP DRAIN AREA PAINT PEEL OFF","WSPT","EA","1"
"C34 B2 SEAL OF PAX DOOR 1RH WERE DEFLATE",,,"9"
"C37 B2 WORK TABLE RETAINER GALLEY 1F IS",,,"9"
"REF CML SEQ 31 FWD A.C.P TAKEN FOR SERVI","CBN","CBN","2"
"LH WING I/B FLAP AFT FLAP TRAILING EDGE","AP,WSNC,WSPT,WSSR","AP","0"
"BONDING JUMPER AT RH ELEVATOR WERE TEARS",,,"9"
"ENG #1 O/B REVERSER HINGE BOLT CORROSION",,,"9"
"RH WING HF ANTENNA LOOSE","EA,STR","EA","1"
"AFT CARGO STUD P/N ABS0336-11 BAD CONDIT","AP","AP","0"
"WHEEL HUB COVER PAINT PEEL OFF #2","WSPT","WSPT","4"
"WHEEL HUB COVER PAINT PEEL OFF #5","WSPT","WSPT","4"
"ENG #2 AIR INTAKE COWL BOLT LOCK COVER M","AP,WSST","AP","0"
"WORK TABLE GALLEY 6 PEEL OFF","WSCB","WSCB","9"
"REVOLVING CATCH GALLEY 7 ARE FOUND DIRTY","WSCB","WSCB","9"
"ALUMUNIUM TRIM SCRATCH AND PEEL OFF AT G","WSCB","WSCB","9"
"NUMEROUS DOOR LUGGAGE BIN FOUND PEEL OFF","WSCB,WSSS","WSCB","9"
"NEED CLEANING FOR DUAL WHCU UNIT NO.1 LE","EA","EA","1"
"RH NLG AFT DOOR FWD AND AFT HINGE BONDIN","EA","EA","1"
"BRAKE #4 BLEEDING CAP NOT INSTALL","AP","AP","0"
"COLLINS FINDING- COWL INSTL, AIR INTAKE ENG #1 EXISITING FLUSH PATCHS REPAIR SIZE 7COLLINS FINDING5""L X 6""W, 11'L X 6""W (2 OFF) ON LIPSKIN INNER SIDE RIVETS RO","WSSR","W305","9"
"LAV D HINGE DOOR SCREW FOUND MISSING 1EA","CBN","EA","1"
"FWD LH /RH DOOR WAY PANEL PAINT PEEL OFF","CBN,WSCN,WSSS","EA","1"
"AFT CARGO - BULKHEAD PANEL #1 HAVE MULTI","AP,WSPT,WSSR","AP","0"
"LAV D FAIRING SHROUD FOUND CRACK","CBN,WSCN,WSSS","EA","1"
"SEAL AT ENGINE 1 I/B PYLON HAS TEAR","AP,WSSR","GAH402A1","9"
"COLLINS FINDING - COWL INSTL, FAN DOOR ENG#1 (LH) FADED/ PEELED OFF ON INNER SURFACE","WSPT","W403","9"
"COLLINS FINDING - CONE ASSY-TAIL, #2 CHIPPED OFF AT LWR AFT RING","WSNC,WSSR","W304","9"
"FWD CARGO CEILING SHROUD LH #4 WAS PUNCT","AP,WSPT,WSSR","AP","0"
"ENG #2 OIL FILL ACCESS PANEL OVERPLAY","AP","AP","0"
"PANEL 198 CB SEAL HAS TORN","AP","AP","0"
"EASTAR REQUESTNEED RECHARGE EPSU BATTERY 10 ASSY","CBN","CBN","2"
"EXT FUSELAGE SKIN AT STA 807 - STA 827 STR 26R GOUGE","STR,WSNC","STR","3"
"LH FUSELAGE RIVET HEAD FOUND BURNMARK AT FR7 & BELOW SKIN LAP JOINT 100 MM APPROX","STR,WSPT","STR","3"
"RH WING I/B FLAP TRAILING EDGE TRAILING","WSNC,WSPT,WSST","WSNC","7"
"FORWARD CARGO DOOR CUT OUT PAINT PEEL OF","WSPT","WSPT","4"
"EXTERNAL POWER DOOR FOUND LATCH DAMAGE","AP","AP","0"
"LH FUSELAGE FR 32 - 33 STR 43 - 44 SKIN","STR,WSPT","STR","3"
"RH WING TANK PANEL NO #16 RING-PHENOLIC(HIREX)HAS BROKEN (632FB)","AP","AP","0"
"AFT BELLY FAIRING PANEL 197CB PLACARD DA","WSPT","WSPT","4"
"Cargo - Aft : Fail safe strap at Aft Cargo door cutout, Sta 794.37 is edge damage and corroded (Finding Lessor)","STR","STR","3"
"#1 Eng RH TR : Minor edge damage at TE u","WSNC,WSPT,WSSR","WSNC","7"
"ENGINE #2 O/B FAN COWL LATCH AT CENTER POSTION #3 HAS OVER PLAY","AP","AP","0"
"EXISTING BLIND FASTENER REPAIR AT FS BTW STA400-420 STR 7R-8R","CBN,STR,WSNC,WSPT","CBN","2"
"LH AFT MOTOR BOOST PUMP TAKEN FOR PK-GMV","AP","EA","1"
"POCKET FOR GLOVES WAS BROKEN POST COKPIT","CBN,WSSW","CBN","2"
"AFT CARGO RH FWD PARTITION HAVE PUNCTURE","AP,WSPT,WSSR","AP","0"
"AREA BELOW SLAT TRACK PANEL FROM WING ROOT TO WING TIP PAINT PEEL OFF ONSTRUCTURE AND PANEL IN SOME AREA","WSPT","WSPT","4"
"LAVATORY EQUIPMENT BTW FR.39-FR.40 ATTAC","STR,WSPT","EA","1"
"PYLON 4 LH HYD BAY DOOR FIRE SEAL TORN","AP","AP","0"
"FOUND EXISTING REPAIR DOUBLER UNDOCUMENTED AT STA 500C BTW STR 19LH -STR 21LH
","NA,STR,WSNC","NA","8"
"ENG 3 BLOCKER DOOR POS 11.00 DRAG LINK OVERPLAY","AP,WSST","AP","0"
"ENG 3 BLOCKER DOOR POS 06.00 HINGE OVERPLAY","AP,WSST","AP","0"
"FWD CARGO FLOOR#3 HAS PUNCTURE","AP,STR","AP","0"
"AFT CARGO RH#2 CEILING HAS FOUND TORN OFF","AP,STR","EA","1"
"AFT CARGO RH SHORT SIDE PLATE CORRODED LV.2 BTW STA 787-794.3","STR","STR","3"
"EXT F/S BTW STA 178-188 STR 24L FOUND EX.BLENDEXT F/S AT STA 188 STR 24L-25L FOUND EX.BLENDEXT F/S AT STA 188 BELOW STR 25L FOUND EX.BLENDEXT F/S BTW STA","STR,WSNC,WSPT","EA","1"
"FWD CARGO COMPT AT FR.34 STGR 43L-43R CLEAT CORROSION","STR,WSNC","EA","1"
"ALL DOOR STOWAGE OF ATTD SEAT WERE CRACK","WSSS","EA","1"
"COVER CRADLE OF FWD I/B ATTD SEAT WAS SMALL CRACK","WSSS","EA","1"
